city,brand_name,legal_name,aliases,company_type,focus,funding_stage,priority
上海,MiniMax,MiniMax,minimax|稀宇科技,AI,大模型/多模态/Agent,多轮大额融资已远超A轮,S
上海,阶跃星辰,阶跃星辰,StepFun|stepfun,AI,大模型/多模态/Agent,已完成B轮及以上融资,S
上海,商汤科技,商汤科技,SenseTime|商汤,AI,AI/大模型/计算机视觉,香港主板上市,S
上海,智元机器人,智元机器人,AgiBot|智元,机器人,人形机器人/具身智能,已完成B轮及以上融资,S
上海,傅利叶智能,傅利叶智能,Fourier|傅利叶,机器人,康复机器人/具身智能,已完成E轮及以后融资,S
上海,云从科技,云从科技,云从,AI,计算机视觉/AI平台,科创板上市,A
上海,依图科技,依图科技,依图,AI,CV/医疗AI,已完成多轮融资,A
上海,无问芯穹,无问芯穹,无问|芯穹,AI,AI算力/异构计算,已完成A轮及以后融资,A
上海,华院计算,华院计算,华院,AI,AI算法/行业AI,已完成D轮及以上融资,A
上海,思岚科技,思岚科技,SLAMTEC|思岚,机器人,SLAM/机器人导航,已完成B轮及以上融资,A
上海,飒智智能,飒智智能,飒智,机器人,移动机器人/具身智能,已完成A+轮及以上融资,A
上海,开普勒机器人,开普勒机器人,开普勒,机器人,人形机器人,已完成A+轮及以上融资,A
上海,斑马智行,斑马智行,斑马,AI,智能汽车AI操作系统/自动驾驶,已完成多轮融资,A
杭州,DeepSeek,深度求索,DeepSeek|深度求索,AI,大模型/推理模型/多模态,已完成A轮及以上融资,S
杭州,宇树科技,宇树科技,Unitree|宇树,机器人,人形机器人/四足机器人,已完成C轮及以后融资,S
杭州,云深处科技,云深处科技,云深处,机器人,四足/人形/具身智能,已完成C轮融资,S
杭州,千寻智能,千寻智能,千寻,机器人,具身智能/人形机器人,连续完成多轮融资已远超A轮,S
杭州,强脑科技,强脑科技,强脑,AI,脑机接口/脑机智能,已完成A轮及以后融资,S
杭州,群核科技,群核科技,群核,AI,空间智能/AI设计,Pre-IPO/上市进程,S
杭州,具微科技,具微科技,具微,机器人,具身智能/四足机器人,已完成B轮及以上融资,A
杭州,Rokid,Rokid,Rokid|若琪,AI,AI眼镜/空间智能,已完成C轮及以上融资,A
杭州,微纳核芯,微纳核芯,微纳,AI,存算一体/AI芯片,已完成B轮及以后融资,A
杭州,涂鸦智能,涂鸦智能,Tuya|涂鸦,AI,AIoT/智能硬件,纽交所/港交所上市,A
杭州,恒生电子,恒生电子,恒生,AI,金融AI/大模型/Agent,A股上市,A
苏州,艾利特机器人,艾利特机器人,Elite|艾利特,机器人,协作机器人/具身智能,已完成D+轮融资,S
苏州,思必驰,思必驰,AISpeech|思必驰,AI,语音AI/大模型/智能交互,已完成多轮融资科创板IPO已受理,S
苏州,追觅科技,追觅科技,Dreame|追觅,AI/机器人,AI消费机器人/智能硬件,已完成多轮融资,S
苏州,科沃斯,科沃斯,ECOVACS|科沃斯,机器人,服务机器人/智能家居,A股上市,A
苏州,灵猴机器人,灵猴机器人,灵猴,机器人,工业机器人/具身智能,已完成B+轮及以上融资,A
苏州,智加科技,智加科技,Plus.ai|智加,AI/机器人,自动驾驶/智能驾驶,已完成多轮融资,A
苏州,中科融合,中科融合,中科融合,AI,AI视觉/工业AI,已完成A轮及以上融资,A
苏州,汇川技术,汇川技术,汇川|汇川技术相关机器人业务,机器人/智能制造,工业自动化/机器人/AI,上市公司体系,A
苏州,赛思倍斯,赛思倍斯,赛思倍斯,AI,AI视觉/工业检测,已完成多轮融资,A
南京,埃斯顿,埃斯顿,ESTUN|埃斯顿,机器人,工业机器人/智能制造,A股上市,S
南京,芯驰科技,芯驰科技,芯驰,AI芯片,汽车AI芯片/智能驾驶/具身智能,已完成C轮融资,S
南京,诚迈科技,诚迈科技,诚迈,AI/软件,AI软件/智能操作系统,A股上市,A
南京,硅基智能,硅基智能,硅基,AI,AIGC/数字人/大模型,已完成C轮融资,A
合肥,科大讯飞,科大讯飞,iFLYTEK|讯飞,AI,大模型/语音AI/行业AI,A股上市,S
合肥,讯飞医疗,讯飞医疗,讯飞医疗,AI,医疗AI/医疗大模型,已完成多轮融资并上市,S
合肥,零次方机器人,零次方机器人,零次方,机器人,人形机器人/具身智能,已完成A轮及以上融资,A
合肥,科大国创,科大国创,国创,AI,AI/大数据/行业智能,A股上市,A
合肥,容知日新,容知日新,容知,AI/智能制造,工业AI/智能诊断,科创板上市,A
合肥,国盾量子,国盾量子,国盾,AI/算力相关,量子信息/量子计算产业,科创板上市,A
宁波,均普智能,均普智能,均普,机器人/智能制造,智能制造/工业自动化/机器人,科创板上市,S
宁波,拓普集团,拓普集团,拓普,机器人/智能制造,汽车智能制造/机器人零部件,A股上市,A
宁波,舜宇光学,舜宇光学,舜宇,AI/机器人产业链,光学/机器视觉/智能硬件,香港主板上市,A
宁波,柯力传感,柯力传感,柯力,机器人产业链,传感器/机器人/智能制造,A股上市,A
宁波,万有引力,万有引力,万有引力,AI芯片,XR空间计算/AI芯片,已完成A轮及以后融资,A
宁波,博登智能,博登智能,博登,AI,AI数据服务/自动驾驶数据,已完成A轮融资,A
